Item Number,Item Description,List price,Product Family,Notes
AEK2006,PULL HOOK 6T,389.0,Collision Straightening/Access,
CAR11548,RIGHT ANGLE PULL CLAMP,995.0,Collision Straightening/Access,
CAR12408,Skruv MC6S 10X20 8.8 FZB,4.0,Collision Straightening/Parts,
CAR12425,SCREW MC6S-4x10 8.8 FZB,4.0,Collision Joining/Parts,
CAR12645502,MIGA CARD STD -  (CMI3000),751.0,Collision Joining/Parts,
CAR13202,INDUCTOR WITH SCREWS L=200MM,1992.0,Collision Joining/Parts,
CAR14259,SCREW M5x10,4.0,Collision Joining/Parts,
CAR1434860,NOSEPIECE 17/45,46.0,Collision Joining/Parts,
CAR1434874,TUBE SHORT (5pc),110.0,Collision Joining/Parts,
CAR1434975,NOSEPIECE 17/32,46.0,Collision Joining/Parts,
CAR1434977,NOSEPIECE 17/36,46.0,Collision Joining/Parts,
CAR1434999,NOSEPIECE 17/40,46.0,Collision Joining/Parts,
CAR1435381,CONTROL POWERBIRD PRO 4400,1755.0,Collision Joining/Parts,
CAR1435384,JAW PUSHER (5pc),16.0,Collision Joining/Parts,
CAR1435392,JAW HOUSING,380.0,Collision Joining/Parts,
CAR1435393,CHANNEL TUBE (5pc),16.0,Collision Joining/Parts,
CAR1435408,PLATE,147.0,Collision Joining/Parts,
CAR1435412,COMPRESSION SPRING (5pc),92.0,Collision Joining/Parts,
CAR1435568,JAWS (3-PART),151.0,Collision Joining/Parts,
CAR1436003,HEAD,100.0,Collision Joining/Parts,
CAR1446012,O-RING (10PC SET),141.0,Collision Joining/Parts,
CAR1457643,DRIVE UNIT COMPLETE,4892.0,Collision Joining/Parts,
CAR1457645,"MOTOR, COMPLETE",1185.0,Collision Joining/Parts,
CAR1457646,POWERBIRD PRO KEY COMPLETE,86.0,Collision Joining/Accessories,
CAR1520557,ONE-PIECE ADAPTER,54.0,Collision Joining/Parts,
CAR1639650,BATTERY 18.0V 2.1AH LI-ION,948.0,Collision Joining/Parts,
CAR17110015,WATERPROOF SWIITCH,43.0,Collision Joining/Parts,
CAR17110101,CONTROL BUTTON 1S,33.0,Collision Straightening/Access,
CAR17120005,4 X 3 TURN SWITCH,56.0,Collision Joining/Parts,
CAR17220034,WIRE FEED MOTOR (AUTOMIG),473.0,Collision Joining/Parts,
CAR17230006,"SOLENOID VALVE 24V AC 1/8"" NBR",219.0,Collision Joining/Parts,
CAR17230012,SOLENOID VALVE ASSEMBL - 273I,189.0,Collision Joining/Parts,
CAR18502603,KNOB DULL BLACK 021MM,14.0,Collision Joining/Parts,
CAR18521303,COVER DULL BLACK  021MM,6.0,Collision Joining/Parts,
CAR205,RAM ADAPTER,241.0,Collision Straightening/Access,
CAR24550122,BUSHINGS CMI TOOL TRAY,4.0,Collision Joining/Parts,
CAR25610110,FEED WHEEL 0.6-0.8,153.0,Collision Joining/Accessories,
CAR25610112,FEED WHEEL 1.0-1.2,198.0,Collision Joining/Accessories,
CAR25610184,FEED WHEELS 0.6 - 8mm,95.0,Collision Joining/Accessories,
CAR26330014,HANDLE TUBE ? CM SERIES,24.0,Collision Joining/Parts,
CAR26510155,CAPILLARY TUBE 01.2x119 WHITE,33.0,Collision Joining/Accessories,
CAR26510156,CAPILLARY TUBE 01.5 BLUE,27.0,Collision Joining/Accessories,
CAR26510157,CAPILLARY TUBE 1.2 - 1.6 MM,27.0,Collision Joining/Accessories,
CAR26511112,CAPILLARY TUBE 0.6 - .08MM WHI,27.0,Collision Joining/Accessories,
CAR3/8EASYCLAMP,"HOSE CLAMP FOR 3/8"" HOSE",7.0,Collision Joining/Accessories,
CAR30002,FUSE,6.0,Collision Straightening/Access,
CAR30018,FLaKTFILTER+GALLER  119x119,63.0,Collision Straightening/Parts,
CAR30024,DECALE:LARGE YELLOW-BENCH,10.0,Collision Straightening/Parts,
CAR30025,SKYLT CAR-O-LINER 1650x375,213.0,Collision Straightening/Parts,
CAR30059,B55-3 WHEEL W/BEARING,215.0,Collision Straightening/Parts,
CAR30073,CLAMP PLATE,80.0,Collision Straightening/Access,
CAR30089,HOLDER,260.0,Collision Joining/Accessories,
CAR30090,B106 PLATE,238.0,Collision Straightening/Parts,
CAR30091,BOLT  T10-5,52.0,Collision Straightening/Access,
CAR30093,MOUNTING PLATE,134.0,Collision Straightening/Parts,
CAR30096,B106 CHASSIS CLAMP 4 REQUIRED,643.0,Collision Straightening/Access,
CAR30102,T31 SAFETY WIRE,100.0,Collision Straightening/Access,
CAR30104,B63-7-1 MOUNTING  PLATE,34.0,Collision Straightening/Parts,
CAR30105,T10-1 HOOK,539.0,Collision Straightening/Access,
CAR30106,T10-4 ADAPTER,62.0,Collision Straightening/Access,
CAR30110,T10-2-1 CLAMP PLATE,70.0,Collision Straightening/Parts,
CAR30111,T10-2 CLAMP I,455.0,Collision Straightening/Access,
CAR30112,T10-3 CLAMP II,401.0,Collision Straightening/Access,
CAR30120,MOUNTING PLATE,31.0,Collision Straightening/Parts,
CAR30131,B39 BENCH MOUNTING  MARK 5,934.0,Collision Straightening/Access,
CAR30138,M719 MEASURING BRIDGE LOCK,211.0,Collision Measuring/Parts,
CAR30176,BENCH PARTS (B106/B39MK),5866.0,Collision Straightening/Access,
CAR30190,M40-1 KNOB B57-4,8.0,Collision Straightening/Parts,
CAR30193,KNOB,5.0,Collision Straightening/Parts,
CAR30194,CLAMPING BUSH,13.0,Collision Measuring/Parts,
CAR30198,M101-25 MEASURING CONE D=25mm,39.0,Collision Measuring/Parts,
CAR30199,M101-35 MEASURING CONE D=35MM,51.0,Collision Measuring/Parts,
CAR30200,M100-08 MEASURING CUP D=8MM,41.0,Collision Measuring/Parts,
CAR30201,M201-34 MEAS STUD D=34MM,113.0,Collision Measuring/Parts,
CAR30202,M201-6 MEAS STUD D=6MM,39.0,Collision Measuring/Parts,
CAR30203,M201-14 MEAS STUD D=14MM,48.0,Collision Measuring/Parts,
CAR30204,M201-13 MEAS STUD D=13MM,45.0,Collision Measuring/Parts,
CAR30205,M100-15 MEASURING CUP D=15MM,41.0,Collision Measuring/Parts,
CAR30206,M100-17 MEAS CUP D=17MM,41.0,Collision Measuring/Parts,
CAR30207,M100-25 MEASURING CUP D=25MM,41.0,Collision Measuring/Parts,
CAR30208,M100-10 MEASURING CUP D=10MM,41.0,Collision Measuring/Parts,
CAR30209,M100-12 MEASURING CUP D=12MM,41.0,Collision Measuring/Parts,
CAR30210,M100-14 MEASURING CUP D=14MM,41.0,Collision Measuring/Parts,
CAR30211,M100-16 MEASURING CUP D=16MM,41.0,Collision Measuring/Parts,
CAR30212,M100-18 MEASURING CUP D=18MM,41.0,Collision Measuring/Parts,
CAR30213,M100-20 MEASURING CUP D=20MM,41.0,Collision Measuring/Parts,
CAR30214,M100-22 MEASURING CUP D=22MM +,41.0,Collision Measuring/Parts,
CAR30215,M100-24 MEASURING CUP D=24MM,41.0,Collision Measuring/Parts,
CAR30216,M100-26 MEASURING CUP D=26MM,41.0,Collision Measuring/Parts,
CAR30217,M100-28 MEASURING CUP D=28MM,41.0,Collision Measuring/Parts,
CAR30218,M201-17 MEAS STUD D=17MM,254.0,Collision Measuring/Parts,
CAR30219,M100-31 MEASURING CUP D=31MM,81.0,Collision Measuring/Parts,
CAR30220,M201-18 MEAS STUD D=18MM,60.0,Collision Measuring/Parts,
CAR30222,M201-8 MEAS STUD D=8MM,50.0,Collision Measuring/Parts,
CAR30223,M201-10 MEAS STUD D=10MM,50.0,Collision Measuring/Parts,
CAR30224,M201-30 MEAS STUD D=30MM,129.0,Collision Measuring/Parts,
CAR30225,M201-15 MEAS STUD D=15MM,45.0,Collision Measuring/Parts,
CAR30226,M103 MEASURING ANGLE STUD,41.0,Collision Measuring/Parts,
CAR30227,M104 ANGLE ADAPTER =18MM,69.0,Collision Measuring/Parts,
CAR30228,M201-9 BUSHING,45.0,Collision Measuring/Parts,
CAR30229,M201-31 MEAS STUD D=31.5MM,77.0,Collision Measuring/Parts,
CAR30230,V-BLOCK                M209,31.0,Collision Measuring/Parts,
CAR30231,M201-12 MEAS STUD  D=12MM,50.0,Collision Measuring/Parts,
CAR30241,M101-60 MEASURING CONE D=60MM,94.0,Collision Measuring/Parts,
CAR30243,M40-60 TUBE C L=60MM,87.0,Collision Straightening/Access,
CAR30256,MEASURING GUAGE M217-180,130.0,Collision Measuring/Accessori,
CAR30257,MATDON             M217-120,149.0,Collision Measuring/Accessori,
CAR30269,MEASURING TAPE FOR M12 AND M15,149.0,Collision Measuring/Parts,
CAR30290,MEASURING TAPE W/SLIDE BAR,96.0,Collision Measuring/Parts,
CAR30299,MSRG TAPE W/SLIDE BAR,89.0,Collision Measuring/Parts,
CAR30306,DECALE:LARGE BLUE-DRAWALIGNER,9.0,Collision Straightening/Parts,
CAR30312,D16-24 SAFETY WIRE,111.0,Collision Straightening/Parts,
CAR30318,NIKE 10 TON RAM,194.0,Collision Joining/Accessories,
CAR30326,WEDGE,172.0,Collision Straightening/Parts,
CAR30327,SUPPORT WASHER,524.0,Collision Straightening/Access,
CAR30333,PEG,45.0,Collision Straightening/Parts,
CAR30334,D16-21 DRAW ALIGNER PEG,102.0,Collision Straightening/Parts,
CAR30346,10T DRAW ALIGNER FOR BENCHES,7769.0,Collision Straightening/Access,
CAR30346-04,D16 GREY RAL7040,7769.0,Collision Straightening/Access,
CAR30346KITT,D16 PULLING  ARM KIT,10100.0,Collision Straightening/Access,
CAR30354,TRYCKPLATTA,117.0,Collision Straightening/Parts,
CAR30358,D16-7 LOCKING WASHER,225.0,Collision Straightening/Parts,
CAR30371,D16-13 SCREW,121.0,Collision Straightening/Parts,
CAR30373,D16-12 AXLE OVER CYL SOCKET,40.0,Collision Straightening/Parts,
CAR30374,AXLE UUNDER CYLINDER SOCKET,33.0,Collision Straightening/Parts,
CAR30381,D24  CLAMP PLATE,236.0,Collision Straightening/Access,
CAR30384,SPRINTBUILT/CLEVIS PIN,29.0,Collision Straightening/Parts,
CAR30386,D90 ROLLER,95.0,Collision Straightening/Parts,
CAR30393,D16 HOLDER,2449.0,Collision Straightening/Parts,
CAR30401,D16-4 ARM,1715.0,Collision Joining/Accessories,
CAR30402,D16-11 OVER CYCLINDER SOCKET,134.0,Collision Straightening/Parts,
CAR30403,D16-8 UNDER CYL SOCKET,93.0,Collision Straightening/Parts,
CAR30404,D16-5 ARM EXTENSION,408.0,Collision Straightening/Parts,
CAR30405,D16-23 PEG,110.0,Collision Straightening/Parts,
CAR30408,D16-20 COONNECTION PEG,963.0,Collision Straightening/Parts,
CAR30409,D16-6 CYCLINDER SOCKET,95.0,Collision Straightening/Parts,
CAR30412,D90 DOWN PULL,674.0,Collision Straightening/Access,
CAR30413,D91 DOWN PULLl FOR B64,768.0,Collision Straightening/Access,
CAR30467,M300 ALLEN SCREWDRIVER,77.0,Collision Measuring/Parts,
CAR30468,PLASTIC SCREW TAB,4.0,Collision WSS/Packaging & Stor,
CAR30469,30MM STEEL HOOK,6.0,Collision WSS/Packaging & Stor,
CAR30470,TOOL HOLDER,4.0,Collision WSS/Packaging & Stor,
CAR30478,M503 TOOL WAGON,2179.0,Collision Measuring/Accessori,
CAR30481,PLASTIC HOOK 30MM,4.0,Collision WSS/Packaging & Stor,
CAR30482,SMALL CLIP,4.0,Collision WSS/Packaging & Stor,
CAR30483,WSH14 SHELL HOLDER,4.0,Collision WSS/Packaging & Stor,
CAR30484,WSH70 CAN ROUND,5.0,Collision WSS/Packaging & Stor,
CAR30485,WSH75 ROUND RING,6.0,Collision WSS/Packaging & Stor,
CAR30486,WSH22 BURK OVAL (450/KART),5.0,Collision WSS/Packaging & Stor,
CAR30490,B90-5 WHEEL W/BRAKE,96.0,Collision WSS/Packaging & Stor,
CAR30495,130MM STEEL HOOK,8.0,Collision WSS/Packaging & Stor,
CAR30497,SMALL PLASTIC BOX,8.0,Collision WSS/Packaging & Stor,
CAR30501,LARGE PLASTIC BOX,21.0,Collision WSS/Packaging & Stor,
CAR30502,230MM STEEL HOOK,8.0,Collision WSS/Packaging & Stor,
CAR30504,TOOL HOLDER WSH110,8.0,Collision WSS/Packaging & Stor,
CAR30508,WSS TOOL HOLDER KIT,186.0,Collision WSS/Packaging & Stor,
CAR30510,HOOK KIT,60.0,Collision WSS/Packaging & Stor,
CAR30517,SPECIAL CLAMP I T11-1,116.0,Collision Straightening/Access,
CAR30520,T11-2 SPEC. CLAMP II,298.0,Collision Straightening/Access,
CAR30525,PULLING PLATE T11-3,487.0,Collision Straightening/Access,
CAR30530,HOOK T21,117.0,Collision Straightening/Access,
CAR30531,SINGLE CLAW HOOK T18,114.0,Collision Straightening/Access,
CAR30532,SHORTENING OF CHAIN 10-T T12,355.0,Collision Straightening/Access,
CAR30533,"CHAIN 10 MM, L=2.4 MTR",238.0,Collision Straightening/Access,
CAR30539,T32 CHAIN 7MM L=2 W/ HOOKS/SHO,439.0,Collision Straightening/Access,
CAR30540,CHAIN 10 TON 2.4M W HOOKS T33,567.0,Collision Straightening/Access,
CAR30541,T11  (ACCESSORIES FOR T 10),982.0,Collision Straightening/Access,
CAR30544,ATTACHMENT FOR CLAMPS T11-5,195.0,Collision Straightening/Access,
CAR30545,T10-20 CONNECTING BOLT,144.0,Collision Straightening/Access,
CAR30552,B251 CHASSIS CLAMP,412.0,Collision Straightening/Access,
CAR30553,B245 MOUNTING PLATE,266.0,Collision Straightening/Access,
CAR30554,T56 WHEEL STAND (HIGH),624.0,Collision Straightening/Access,
CAR30597,T72DR-CLAMP,455.0,Collision Straightening/Parts,
CAR30598,T73 CLAMP SILL HOOK,320.0,Collision Straightening/Access,
CAR30603,T47 CLAMP,306.0,Collision Straightening/Access,
CAR30606,B147 MOUNTING PLATE 133-0,311.0,Collision Straightening/Access,
CAR30621,B248-B1 SHAFT,217.0,Collision Straightening/Access,
CAR30625,LaSTAPP B248-B2,188.0,Collision Straightening/Access,
CAR30626,TAPP A4,60.0,Collision Straightening/Parts,
CAR30628,B255 CLAMPING PLATE,269.0,Collision Straightening/Access,
CAR30630,B331-C1 ANGLE BRACKET,309.0,Collision Straightening/Access,
CAR30631,HOLDER,134.0,Collision Straightening/Parts,
CAR30633,PEG A2,236.0,Collision Straightening/Access,
CAR30634,FASTVINKEL B248-C2,223.0,Collision Straightening/Access,
CAR30637,EXCENTERHaLLARE B333-A4,336.0,Collision Straightening/Access,
CAR30638,B248 MOUNTING PLATE,510.0,Collision Straightening/Access,
CAR30639,B330 MERCEDES CHASSIS CLAMP,593.0,Collision Straightening/Access,
CAR30641,B333 CHASSOS CLAMP A4,491.0,Collision Straightening/Access,
CAR30642,B332 AUDI CHASSIS CLAMP,1017.0,Collision Straightening/Access,
CAR30648,B156-B1 THREADED BUSHING,204.0,Collision Straightening/Access,
CAR30649,B156-B3 THREADED BUSHING,183.0,Collision Straightening/Access,
CAR30650,B156-A13 ADAPTER,104.0,Collision Straightening/Access,
CAR30651,B156-A2 ADAPTER FIXED,153.0,Collision Straightening/Access,
CAR30652,B156-A3 ADAPTER FIXED,140.0,Collision Straightening/Access,
CAR30653,B156-C1 WASHER,110.0,Collision Straightening/Access,
CAR30656,B156-B5 THREADED BUSHING,204.0,Collision Straightening/Access,
CAR30657,B156-A5 ADAPTER FIXING,140.0,Collision Straightening/Access,
CAR30658,B156-A6 ADAPTER FIXED,147.0,Collision Straightening/Access,
CAR30659,B156-A8 ADAPTER FIXED,164.0,Collision Straightening/Access,
CAR30660,B156-B6 THREADED BUSHING,204.0,Collision Straightening/Access,
CAR30662,B156-A10 ADAPTER FIXED,153.0,Collision Straightening/Access,
CAR30664,B156-B10 BUSHING,204.0,Collision Straightening/Access,
CAR30665,B156-B11 BUSHING,187.0,Collision Straightening/Access,
CAR30666,GANGAD BUSSNING B13 B156-B13,81.0,Collision Straightening/Access,
CAR30668,DISTANCE 50MM B213,229.0,Collision Straightening/Access,
CAR30669,T48 SUPPORT STAND,2090.0,Collision Straightening/Access,
CAR30670,HJUL LANK- 155/125 HB=105x80,69.0,Collision Straightening/Parts,
CAR30682,T63 MULTIPAD MOUNTING,390.0,Collision Straightening/Access,
CAR30685,B36-10 HANDLE,30.0,Collision Straightening/Parts,
CAR30688,BENCH MOUNTING B34MK,1211.0,Collision Straightening/Access,
CAR30695,B250 H-1 HEIGHT SUPPORT BLOCK,95.0,Collision Straightening/Access,
CAR30696,NUT,76.0,Collision Straightening/Parts,
CAR30700,B260-1 PLATE,1193.0,Collision Straightening/Parts,
CAR30701,DISTANCE SUPPORT,68.0,Collision Straightening/Parts,
CAR30703,B260-12 BUSHING,52.0,Collision Straightening/Parts,
CAR30704,B250-7 MOUNTING PLATE,39.0,Collision Straightening/Parts,
CAR30705,B260-4 ADAPTOR,147.0,Collision Straightening/Parts,
CAR30706,B250 G-1 C-CHANNEL ADAPTER,255.0,Collision Straightening/Access,
CAR30707,B250 G-2 C-CHANNEL ADAPTER,187.0,Collision Straightening/Access,
CAR30710,B250-2 TOP PLATE,1044.0,Collision Straightening/Parts,
CAR30711,B260-11,39.0,Collision Straightening/Parts,
CAR30712,B250 H-3 HEIGHT SUPPORT BLOCK,115.0,Collision Straightening/Access,
CAR30713,B250 H-2 HEIGHT SUPPORT BLOCK,1153.0,Collision Straightening/Access,
CAR30714,B250 H-4 HEIGHT SUPPORT BLOCK,104.0,Collision Straightening/Access,
CAR30715,B260 E-4 MOUNTING PLATE,233.0,Collision Straightening/Access,
CAR30716,B260 E-5 MOUNTING PLATE,280.0,Collision Straightening/Access,
CAR30717,B250 E-2 CLAMPING JAW,387.0,Collision Straightening/Access,
CAR30718,B250 E-1 CLAMPING JAW,381.0,Collision Straightening/Access,
CAR30719,220MM BOLT FOR B250 CLAMP,130.0,Collision Straightening/Parts,
CAR30720,320MM BOLT FOR B250 CLAMP,146.0,Collision Straightening/Parts,
CAR30722,B250 FRAME CLAMP,1266.0,Collision Straightening/Access,
CAR30724,B260 CLAMP,1518.0,Collision Joining/Parts,
CAR30736,M225 MSRG TUBE W/CUTOFF,283.0,Collision Measuring/Parts,
CAR30741,M100-19 MEASURING CUP D=19MM,41.0,Collision Measuring/Parts,
CAR30742,M100-21 MEASURING CUP D=21MM,41.0,Collision Measuring/Parts,
CAR30743,M100-33 MEASURING CUP D=33MM,78.0,Collision Measuring/Accessori,
CAR30749,M274 STRUT TOWER PLATE D=72MM,218.0,Collision Measuring/Parts,
CAR30753,M251 STRUT TOW PLA 76MM,189.0,Collision Measuring/Accessori,
CAR30754,M253 STRUT TOWE PLATE D=69.5M,241.0,Collision Measuring/Accessori,
CAR30757,M257 STRUT TOWER PLATE D=80MM,227.0,Collision Measuring/Accessori,
CAR30760,M264 CENTERING PLATE,273.0,Collision Measuring/Accessori,
CAR30762,M273 STRUT TO PLA58MM,238.0,Collision Measuring/Accessori,
CAR30764,M235 CENTERING ADAPTER,111.0,Collision Measuring/Accessori,
CAR30769,STUD M240,45.0,Collision Measuring/Parts,
CAR30773,SMALL BLUE D16 DECAL,9.0,Collision Straightening/Parts,
CAR30774,HYDRAULIC OIL FOR POWER UNIT,93.0,Collision Straightening/Parts,
CAR30775,GASKET KIT,172.0,Collision Straightening/Parts,
CAR30776,GASKET KIT,146.0,Collision Straightening/Parts,
CAR30778,M5 CYLINDER,3333.0,Collision Straightening/Parts,
CAR30780,TRANSPORT HOOK AND BOLT,291.0,Collision Straightening/Parts,
CAR30781,T5-18 SEAL KIT MK V AND VI,141.0,Collision Straightening/Parts,
CAR30843,B63-1-2 MOUNTING PLATE,110.0,Collision Straightening/Parts,
CAR30844,B626-2 WASHER,19.0,Collision Straightening/Parts,
CAR30845,B631 CHAIN HOLDER NCL. T18,1100.0,Collision Straightening/Access,
CAR30847,BRICKA,590.0,Collision Straightening/Parts,
CAR30854,B632-1 PILLAR SUPPORT,418.0,Collision Straightening/Parts,
CAR30858,B632-4 CAM LOCK,147.0,Collision Straightening/Parts,
CAR30862,B626 CAM LOCK,122.0,Collision Straightening/Access,
CAR30866,T401 RAM SUPPORT KIT,871.0,Collision Straightening/Access,
CAR30872,B57 ROLL STOP/LOADING TROLLEY,831.0,Collision Straightening/Access,
CAR30884,WHEEL,54.0,Collision Straightening/Parts,
CAR30889,STODBEND / SUPPORT LEG,219.0,Collision Straightening/Parts,
CAR30890,AXEL/SHAFT,19.0,Collision Straightening/Parts,
CAR30892,WHEEL BR,461.0,Collision Straightening/Parts,
CAR30898,PLUNGE,144.0,Collision Straightening/Parts,
CAR30900,KAMSKIVA,106.0,Collision Straightening/Parts,
CAR30903,HANDLE - BR5500,124.0,Collision Straightening/Parts,
CAR30904,DRAGSTaNG,115.0,Collision Straightening/Parts,
CAR30907,MOUNTING PLATE,102.0,Collision Straightening/Parts,
CAR30911,COUPLER,21.0,Collision Straightening/Parts,
CAR30915,ANTI CRASH PROTECTION B58,187.0,Collision Straightening/Access,
CAR30921,VICKBEN KPL / SPACER KPL,745.0,Collision Straightening/Parts,
CAR30923,TACKPLAT,119.0,Collision Straightening/Parts,
CAR30924,CATCH BOSS,181.0,Collision Straightening/Parts,
CAR30925,PLATE,27.0,Collision Straightening/Parts,
CAR30929,LABLES AND MANIALS BR5500 USA,233.0,Collision Straightening/Parts,
CAR30940,DECAL+INSTR BENCHRACK FR,62.0,Collision Straightening/Parts,
CAR30941,T53 MULTI-PAD METAL,272.0,Collision Straightening/Access,
CAR30948,BENCH PARTS - BR,6912.0,Collision Straightening/Access,
CAR30948-11,B61 GREY RAL7012,6912.0,Collision Straightening/Access,
CAR30952,D16-16 FIXED WHEEL,170.0,Collision Straightening/Parts,
CAR30953,D16-17 LINL WHEEL,144.0,Collision Straightening/Parts,
CAR30970,T61 WINCH COMPLETE,1979.0,Collision Straightening/Access,
CAR30971,B46 PORT WINCH,57.0,Collision Straightening/Parts,
CAR30972,B23 ROCKER PANEL SUPPORT,461.0,Collision Straightening/Access,
CAR30984,B320 RAMP KIT FOR BR5000,8091.0,Collision Straightening/Access,
CAR30993,M45 HEIGHT A 60MM,106.0,Collision Measuring/Accessori,
CAR31034,LASPLATTA,13.0,Collision Straightening/Parts,
CAR31038,HYDRAULIVC HOSE,444.0,Collision Straightening/Parts,
CAR31040,CABLE GUARD,132.0,Collision Straightening/Access,
CAR31041,ROLLER,232.0,Collision Straightening/Parts,
CAR31042,AXLE,371.0,Collision Straightening/Parts,
CAR31043,HYDRAULIC CYLINDE - OLDER BEN,4252.0,Collision Straightening/Parts,
CAR31046,T60-6 WASHER JAC-PAD,100.0,Collision Straightening/Parts,
CAR31053,MF GROUND KNOB,9.0,Collision Joining/Parts,
CAR31058,ELECTRODE SPHERICAL- 80mm,40.0,Collision Joining/Accessories,
CAR31059,ElLECTRODE SPHERICAL - 60MM,54.0,Collision Joining/Accessories,
CAR31060,ELECTRODE SPHERICAL - 40MM,34.0,Collision Joining/Accessories,
CAR31061,ELECTRODE S SHAPED,69.0,Collision Joining/Accessories,
CAR31065,ELECTRODE DOMED - 50MM,40.0,Collision Joining/Accessories,
CAR31066,ELECTRODE 20MM,32.0,Collision Joining/Accessories,
CAR31067,WELD-ON STUD M5x18 (100/PK),70.0,Collision Joining/Parts,
CAR31068,WELD-ON STUD M6x20 (50/PK),62.0,Collision Joining/Parts,
CAR31070,CLIP RIVETS 32 (100) W572,78.0,Collision Joining/Parts,
CAR31071,WELD-ON PULLING TAB (50/PK),122.0,Collision Joining/Accessories,
CAR31074,MF GROUNDING DEVICE,156.0,Collision Joining/Parts,
CAR31082,PROTECTING PLATE,23.0,Collision Joining/Parts,
CAR31083,ESD-PROTECTION BRUSH,45.0,Collision Measuring/Parts,
CAR31087,TRYCKAXLEl / PRESSURE AXLE,14.0,Collision Measuring/Parts,
CAR31089,LOCKING PINS,53.0,Collision Measuring/Parts,
CAR31090,HOLDER,68.0,Collision Measuring/Parts,
CAR31091,MEASURING HEAD/LM SENSOR,790.0,Collision Measuring/Parts,
CAR31093,SCREW W BARRELL UNDER HEAD,6.0,Collision Joining/Parts,
CAR31099,INTERIOR FOR TRANSPORT COT,1454.0,Collision Measuring/Accessori,
CAR31104,AXLE G1,39.0,Collision Measuring/Parts,
CAR31105,AXLE G0,45.0,Collision Measuring/Parts,
CAR31106,CENTRUMHUS / CENTER HOUSE,438.0,Collision Measuring/Parts,
CAR31109,"SENSOR COVER ""DO NOT REMOVE""",39.0,Collision Measuring/Parts,
CAR31125,WHEEL,153.0,Collision Measuring/Parts,
CAR31130,HANDLE,357.0,Collision Measuring/Parts,
CAR31132,WIRE,34.0,Collision Measuring/Parts,
CAR31134,AXLE L 43,24.0,Collision Straightening/Parts,
CAR31137,AXEL / AXLE,13.0,Collision Measuring/Parts,
CAR31141,LOCKING SCREW,51.0,Collision Measuring/Parts,
CAR31142,PARALLEL ARM,230.0,Collision Measuring/Parts,
CAR31152,M720 BATTERY CHARGER GEN I COT,308.0,Collision Measuring/Parts,
CAR31164,CLASSSIC FRONT KEPAD,354.0,Collision Measuring/Parts,
CAR31166,SENSOR BOARD,400.0,Collision Measuring/Parts,
CAR31169,NICAD BATTERY 1 PAC = 2PCS,796.0,Collision Measuring/Accessori,
CAR31259,CAR-O-TRONIC MEASURE PART M62,3071.0,Collision Measuring/Accessori,
CAR31260,M701-25 MEASURING TUBE L=25,142.0,Collision Measuring/Parts,
CAR31261,M701-60 MEASURING TUBE L=60,158.0,Collision Measuring/Parts,
CAR31262,M701-180 MEASURING TUBE L=180,175.0,Collision Measuring/Parts,
CAR31263,M701-270 MSRG TUBE 270MM,183.0,Collision Measuring/Parts,
CAR31264,M701-360 MEASURING TUBE L=360,224.0,Collision Measuring/Parts,
CAR31268,M701-600 MEASURING TUBE L=600,257.0,Collision Measuring/Parts,
CAR31271,M701-100 MEASURING TUBE L=100,165.0,Collision Measuring/Parts,
CAR31272,HORZONTAL BAR (FOR HMP),362.0,Collision Measuring/Parts,
CAR31277,ADAPTER M705-M,98.0,Collision Measuring/Parts,
CAR31280,D15 M STUD,51.0,Collision Measuring/Parts,
CAR31285,MATSPETSROR 120 KPL.,81.0,Collision Measuring/Parts,
CAR31286,MATSPETSROR 180 KPL.,90.0,Collision Measuring/Parts,
CAR31287,L 70  Z  Adapter,89.0,Collision Measuring/Parts,
CAR31288,Pipe 270 for stud,183.0,Collision Measuring/Parts,
CAR31301,O Ring,8.0,Collision Measuring/Parts,
CAR31302,Wagon Stop,45.0,Collision Measuring/Accessori,
CAR31304,Scale Of Lengths 0-7,466.0,Collision Measuring/Parts,
CAR31305,Scale Of Lengths (8 - 9),167.0,Collision Measuring/Parts,
CAR31366,Screw M6S 16x75,10.0,Collision Straightening/Parts,
CAR31367,Screw M6S 16x100,10.0,Collision Straightening/Parts,
CAR31370,Screw M6S 16x110,10.0,Collision Straightening/Parts,
CAR31371,SCREW M6S 16x120 8.8 FZB,6.0,Collision Straightening/Access,
CAR31372,Screw 16x35 mm,10.0,Collision Straightening/Parts,
CAR31373,Screw 10 X 35,13.0,Collision Straightening/Parts,
CAR31374,Screw 16x50 mm,9.0,Collision Straightening/Parts,
CAR31375,Screw 16x60 mm,9.0,Collision Straightening/Parts,
CAR31382,Screw 4 x 6 10.9,10.0,Collision Straightening/Parts,
CAR31386,Stop Screw 8 X 8,9.0,Collision Straightening/Parts,
CAR31387,SCREW M6S 16X20,10.0,Collision Straightening/Parts,
CAR31388,Screw 16 X 30,10.0,Collision Straightening/Parts,
CAR31391,Screw M6S 16X50,10.0,Collision Straightening/Parts,
CAR31393,Skruv M6S 16 x 80 10.9 Geomet,8.0,Collision Straightening/Parts,
CAR31394,SCREW M6S 16X90,8.0,Collision Joining/Accessories,
CAR31395,Screw M6S 16 X 100,10.0,Collision Straightening/Parts,
CAR31396,Screw  M6S 16 X 120,12.0,Collision Straightening/Parts,
CAR31397,B63-7-6,14.0,Collision Straightening/Parts,
